Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14
2021-12-30,158.48,159.11,160.24,158.37,6950000.0,-0.0005,157.492,63.836317135549855
2021-12-29,158.56,158.85,159.63,158.15,6400000.0,-0.0005,158.1545,62.701134265365326
2021-12-28,158.64,158.2,160.15,158.08,6340000.0,0.003,158.6905,60.33660589060305
2021-12-27,158.16,157.6,158.2,156.34,6190000.0,0.005699999999999999,159.272,50.45747204337514
2021-12-23,157.26,157.61,159.12,157.21,8060000.000000001,0.0036,159.8875,22.67065271549579
2021-12-22,156.7,155.75,157.06,155.24,7270000.0,0.0039000000000000003,160.4685,21.253672869735553
2021-12-21,156.09,155.41,157.18,155.09,11290000.0,0.013999999999999999,160.89000000000001,21.613545816733065
2021-12-20,153.94,154.51,154.7,151.84,15150000.0,-0.018000000000000002,161.14049999999997,19.67361740707163
2021-12-17,156.76,159.31,159.38,155.18,28140000.0,-0.022799999999999997,161.415,28.964401294498373
2021-12-16,160.41,160.39,161.82,158.7,19540000.0,0.015600000000000001,161.541,40.44145155256265
2021-12-15,157.94,159.85,159.85,157.35,14010000.0,-0.0075,161.0265,39.36635105608157
2021-12-14,159.13,157.45,160.89,157.3,12560000.0,0.0077,160.56099999999998,32.31707317073166
2021-12-13,157.92,159.5,159.79,157.28,12070000.0,-0.011899999999999999,160.0825,40.39634146341462
2021-12-10,159.82,161.32,161.7,159.13,10410000.0,-0.004,159.70749999999998,54.03181568842568
2021-12-09,160.46,159.65,160.93,158.65,11190000.0,-0.0016,159.3725,55.28281750266814
2021-12-08,160.71,162.66,163.27,160.17,11710000.0,-0.011399999999999999,159.132,55.68482284505554
2021-12-07,162.57,161.88,163.39,161.16,9850000.0,0.015,159.0715,59.497341710971504
2021-12-06,160.16,161.01,162.61,159.46,11190000.0,0.0118,158.688,54.420866489832015
2021-12-03,158.29,161.5,161.83,157.19,12680000.0,-0.0181,158.51749999999998,52.18312844425604
2021-12-02,161.21,159.83,163.25,158.8,12970000.0,0.021,158.6605,58.68978805394994
2021-12-01,157.89,161.0,163.27,157.8,12260000.0,-0.0059,158.631,53.14026517794833
2021-11-30,158.83,159.16,160.63,158.29,18920000.0,-0.0149,158.6445,58.907103825136616
2021-11-29,161.23,163.31,164.78,159.82,12100000.0,-0.0043,158.774,58.268590455049925
2021-11-26,161.93,162.14,162.65,158.82,13620000.0,-0.0301,158.9625,53.15614617940201
2021-11-24,166.96,168.46,169.44,166.44,9630000.0,-0.0078000000000000005,159.4475,66.9294294294294
2021-11-23,168.28,165.5,168.56,165.37,12360000.0,0.0239,160.0265,67.09002614867386
2021-11-22,164.35,164.16,165.98,162.99,14550000.0,0.0213,160.4395,60.90200067819598
2021-11-19,160.92,161.3,162.11,159.45,12190000.0,-0.0131,160.7885,51.77304964539005
2021-11-18,163.05,164.39,164.85,162.56,8119999.999999999,-0.0086,161.103,53.98338972623807
2021-11-17,164.47,165.21,165.56,163.39,9910000.0,-0.0054,161.30599999999998,55.58194774346791
2021-11-16,165.36,167.06,167.07,165.12,9710000.0,-0.0072,161.677,54.26475084072151
2021-11-15,166.56,167.21,167.78,166.0,6490000.0,-0.0018,162.0485,60.15873015873014
2021-11-12,166.86,167.65,167.74,165.72,8109999.999999999,-0.0045000000000000005,162.4955,64.31673905780153
2021-11-11,167.61,167.52,168.68,166.9,5820000.0,-0.0001,162.88500000000002,61.527377521613815
2021-11-10,167.62,167.45,168.95,167.09,7000000.0,-0.001,163.243,69.89775051124745
2021-11-09,167.78,167.35,168.47,166.59,7990000.0,-0.0076,163.59650000000002,68.90578791719473
2021-11-08,169.06,169.05,170.92,168.74,6410000.0,0.006,163.921,67.36141906873614
2021-11-05,168.05,168.9,170.09,167.41,7980000.0,-0.0014000000000000002,164.3155,63.38582677165355
2021-11-04,168.29,170.0,170.2,166.49,9570000.0,-0.0131,164.81550000000001,53.68013281682342
2021-11-03,170.53,170.13,171.13,169.15,8400000.0,0.0004,165.2815,55.92417061611374
